GO Category,GO ID,GO Term,%,p-value
GO:MF,GO:0005515,protein binding,0.7640573318632855,2.5716606604946332e-18
GO:MF,GO:0005102,signaling receptor binding,0.14884233737596472,2.887128205370371e-17
GO:MF,GO:0036094,small molecule binding,0.37265711135611906,1.3823837348500489e-08
GO:MF,GO:0005178,integrin binding,0.030871003307607496,1.5716515152791233e-08
GO:MF,GO:0043167,ion binding,0.35942668136714445,7.245700635136681e-08
GO:MF,GO:0008092,cytoskeletal protein binding,0.09151047409040794,1.0435686180879763e-07
GO:MF,GO:0003779,actin binding,0.05292171995589857,2.5549597162279344e-07
GO:MF,GO:0005201,extracellular matrix structural constituent,0.029768467475192944,3.099038343256132e-07
GO:MF,GO:0005539,glycosaminoglycan binding,0.03528114663726571,2.7401158035530952e-06
GO:MF,GO:0008201,heparin binding,0.02866593164277839,5.295082590705415e-06
