GO Category,GO ID,GO Term,%,p-value
GO:CC,GO:0005694,chromosome,0.2127659574468085,1.2010653090853808e-20
GO:CC,GO:0005654,nucleoplasm,0.3333333333333333,6.507104796146907e-18
GO:CC,GO:0098687,chromosomal region,0.08333333333333333,3.796465607598018e-17
GO:CC,GO:0005737,cytoplasm,0.6737588652482269,7.610075573152286e-14
GO:CC,GO:0000775,"chromosome, centromeric region",0.05851063829787234,9.59244726212946e-13
GO:CC,GO:0000793,condensed chromosome,0.05851063829787234,1.1561849197061041e-11
GO:CC,GO:0070013,intracellular organelle lumen,0.42021276595744683,1.214438293716598e-11
GO:CC,GO:0031974,membrane-enclosed lumen,0.42021276595744683,1.214438293716598e-11
GO:CC,GO:0043233,organelle lumen,0.42021276595744683,1.214438293716598e-11
GO:CC,GO:0005829,cytosol,0.36347517730496454,3.493415684650689e-11
