GO Category,GO ID,GO Term,%,p-value
GO:MF,GO:0005515,protein binding,0.8209219858156028,1.6128653427985252e-15
GO:MF,GO:0140640,"catalytic activity, acting on a nucleic acid",0.09397163120567376,1.7232528969633942e-11
GO:MF,GO:0005524,ATP binding,0.1524822695035461,1.0531171439995937e-09
GO:MF,GO:0032559,adenyl ribonucleotide binding,0.15425531914893617,1.7545718134810162e-09
GO:MF,GO:0030554,adenyl nucleotide binding,0.1595744680851064,2.6724312791632224e-09
GO:MF,GO:0008094,"ATP-dependent activity, acting on DNA",0.03723404255319149,3.875208535840335e-09
GO:MF,GO:0140097,"catalytic activity, acting on DNA",0.051418439716312055,8.904781993056702e-09
GO:MF,GO:0003678,DNA helicase activity,0.026595744680851064,1.0460353926508183e-08
GO:MF,GO:0003824,catalytic activity,0.38652482269503546,1.5813630240032928e-08
GO:MF,GO:1901363,heterocyclic compound binding,0.19148936170212766,3.1209884718284503e-07
