Category,ID,Term,%,p-value
REAC,REAC:R-HSA-397014,Muscle contraction,0.03858875413450937,1.1475616006625874e-07
REAC,REAC:R-HSA-5660526,Response to metal ions,0.008820286659316428,5.601341181417326e-05
REAC,REAC:R-HSA-109582,Hemostasis,0.07386990077177508,5.9118064895531e-05
REAC,REAC:R-HSA-5661231,Metallothioneins bind metals,0.007717750826901874,0.00013280933367127622
REAC,REAC:R-HSA-1474244,Extracellular matrix organization,0.040793825799338476,0.0002947733726455473
REAC,REAC:R-HSA-388396,GPCR downstream signalling,0.06725468577728776,0.00040737008889349917
REAC,REAC:R-HSA-372790,Signaling by GPCR,0.07166482910694598,0.0009120449687109763
REAC,REAC:R-HSA-162582,Signal Transduction,0.19625137816979052,0.0012662305544003504
REAC,REAC:R-HSA-5578775,Ion homeostasis,0.014332965821389196,0.001288654314567356
REAC,REAC:R-HSA-76002,"Platelet activation, signaling and aggregation",0.03528114663726571,0.0019212530054581994
