Category,ID,Term,%,p-value
REAC,REAC:R-HSA-69278,"Cell Cycle, Mitotic",0.11879432624113476,9.932372964475505e-17
REAC,REAC:R-HSA-1640170,Cell Cycle,0.13120567375886524,7.466071930720681e-16
REAC,REAC:R-HSA-69620,Cell Cycle Checkpoints,0.06914893617021277,2.9624292503429284e-10
REAC,REAC:R-HSA-453279,Mitotic G1 phase and G1/S transition,0.04609929078014184,5.5077408110243105e-09
REAC,REAC:R-HSA-176187,Activation of ATR in response to replication stress,0.024822695035460994,6.4858612769944286e-09
REAC,REAC:R-HSA-69206,G1/S Transition,0.0425531914893617,1.3617403061303455e-08
REAC,REAC:R-HSA-69190,DNA strand elongation,0.02127659574468085,2.2048574351964185e-07
REAC,REAC:R-HSA-69242,S Phase,0.0425531914893617,1.4933671039593431e-06
REAC,REAC:R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,0.031914893617021274,1.630554637415983e-06
REAC,REAC:R-HSA-141424,Amplification of signal from the kinetochores,0.031914893617021274,1.630554637415983e-06
