Rank,Name,Score
1,FLNA,19296
2,ACTN1,17466
3,TGFB1I1,16650
4,TNS1,15170
5,RHOB,12963
6,CAVIN1,10340
7,EHD2,8395
8,TIMP2,7274
9,RHOQ,6734
10,ILK,5976
11,LAMB2,3688
12,CAV2,2898
13,CSRP1,2857
14,PALLD,2842
15,DPYSL3,1356
16,PRNP,958
17,SPARCL1,918
18,EMILIN1,731
19,SNCA,616
20,MEF2C,460
21,CORO1C,302
21,RASL12,302
23,TUBB,284
24,TGFBR3,218
25,SLIT2,210
26,DAAM2,181
27,ITPR1,152
27,ARHGEF6,152
29,PPP3CB,134
30,LPP,132
31,FNBP1,122
32,GABARAPL1,109
33,DPT,96
34,PRKD1,90
35,JAM3,81
36,FHL3,74
37,SSPN,59
38,SDC2,56
39,CAVIN2,53
40,TMEM47,51
