Hub Genes,Model,Metric,Value
10,LR,Accuracy,96.91
10,KNN,Accuracy,96.39
10,RF,Accuracy,83.51
10,GBoost,Accuracy,93.81
10,AdaBoost,Accuracy,79.38
10,Bagging,Accuracy,93.3
10,ET,Accuracy,92.27
10,XGBoost,Accuracy,94.85
20,LR,Accuracy,96.91
20,KNN,Accuracy,96.39
20,RF,Accuracy,88.14
20,GBoost,Accuracy,93.81
20,AdaBoost,Accuracy,79.38
20,Bagging,Accuracy,74.74
20,ET,Accuracy,91.24
20,XGBoost,Accuracy,95.88
30,LR,Accuracy,96.91
30,KNN,Accuracy,96.39
30,RF,Accuracy,89.69
30,GBoost,Accuracy,89.69
30,AdaBoost,Accuracy,79.38
30,Bagging,Accuracy,95.88
30,ET,Accuracy,92.27
30,XGBoost,Accuracy,94.33
40,LR,Accuracy,96.91
40,KNN,Accuracy,96.39
40,RF,Accuracy,95.88
40,GBoost,Accuracy,90.21
40,AdaBoost,Accuracy,79.38
40,Bagging,Accuracy,94.84
40,ET,Accuracy,94.33
40,XGBoost,Accuracy,95.88
