GO Category,GO ID,GO Term,%,p-value
BP,GO:0032501,multicellular organismal process,0.5248070562293274,3.247691735471486e-48
BP,GO:0048856,anatomical structure development,0.44652701212789414,6.466857494152978e-41
BP,GO:0050896,response to stimulus,0.5744211686879823,1.865174110381728e-37
BP,GO:0032502,developmental process,0.46306504961411243,4.4623510673540756e-37
BP,GO:0048731,system development,0.3340683572216097,3.017029372488433e-35
BP,GO:0007275,multicellular organism development,0.36824696802646084,8.565254656165303e-35
BP,GO:0051239,regulation of multicellular organismal process,0.2657111356119074,2.6371829291966235e-31
BP,GO:0065008,regulation of biological quality,0.25689084895259096,1.3648897953439738e-29
BP,GO:0065007,biological regulation,0.6923925027563396,1.3375959832375316e-28
BP,GO:0030154,cell differentiation,0.3362734288864388,4.101225642111734e-28
CC,GO:0071944,cell periphery,0.4718853362734289,4.3672244038455587e-48
CC,GO:0005886,plasma membrane,0.40573318632855565,3.959454295465657e-31
CC,GO:0005576,extracellular region,0.3263506063947078,5.637310509109002e-30
CC,GO:0005615,extracellular space,0.269018743109151,8.636177968808087e-27
CC,GO:0030054,cell junction,0.19955898566703417,5.337775032897605e-23
CC,GO:0031982,vesicle,0.28004410143329656,3.7994723068879174e-18
CC,GO:0043292,contractile muscle fiber,0.050716648291069456,5.097884997717365e-17
CC,GO:0005737,cytoplasm,0.6328555678059536,1.6503779699708287e-16
CC,GO:0016020,membrane,0.535832414553473,1.8226545238884808e-16
CC,GO:0062023,collagen-containing extracellular matrix,0.06504961411245866,3.318176535944073e-16
MF,GO:0005515,protein binding,0.7640573318632855,2.5716606604946332e-18
MF,GO:0005102,signaling receptor binding,0.14884233737596472,2.887128205370371e-17
MF,GO:0036094,small molecule binding,0.37265711135611906,1.3823837348500489e-08
MF,GO:0005178,integrin binding,0.030871003307607496,1.5716515152791233e-08
MF,GO:0043167,ion binding,0.35942668136714445,7.245700635136681e-08
MF,GO:0008092,cytoskeletal protein binding,0.09151047409040794,1.0435686180879763e-07
MF,GO:0003779,actin binding,0.05292171995589857,2.5549597162279344e-07
MF,GO:0005201,extracellular matrix structural constituent,0.029768467475192944,3.099038343256132e-07
MF,GO:0005539,glycosaminoglycan binding,0.03528114663726571,2.7401158035530952e-06
MF,GO:0008201,heparin binding,0.02866593164277839,5.295082590705415e-06
