GO Category,GO ID,GO Term,%,p-value
GO:BP,GO:0032501,multicellular organismal process,0.5248070562293274,3.247691735471486e-48
GO:BP,GO:0048856,anatomical structure development,0.44652701212789414,6.466857494152978e-41
GO:BP,GO:0050896,response to stimulus,0.5744211686879823,1.865174110381728e-37
GO:BP,GO:0032502,developmental process,0.46306504961411243,4.4623510673540756e-37
GO:BP,GO:0048731,system development,0.3340683572216097,3.017029372488433e-35
GO:BP,GO:0007275,multicellular organism development,0.36824696802646084,8.565254656165303e-35
GO:BP,GO:0051239,regulation of multicellular organismal process,0.2657111356119074,2.6371829291966235e-31
GO:BP,GO:0065008,regulation of biological quality,0.25689084895259096,1.3648897953439738e-29
GO:BP,GO:0065007,biological regulation,0.6923925027563396,1.3375959832375316e-28
GO:BP,GO:0030154,cell differentiation,0.3362734288864388,4.101225642111734e-28
