GO Category,GO ID,GO Term,%,p-value
GO:CC,GO:0071944,cell periphery,0.4718853362734289,4.3672244038455587e-48
GO:CC,GO:0005886,plasma membrane,0.40573318632855565,3.959454295465657e-31
GO:CC,GO:0005576,extracellular region,0.3263506063947078,5.637310509109002e-30
GO:CC,GO:0005615,extracellular space,0.269018743109151,8.636177968808087e-27
GO:CC,GO:0030054,cell junction,0.19955898566703417,5.337775032897605e-23
GO:CC,GO:0031982,vesicle,0.28004410143329656,3.7994723068879174e-18
GO:CC,GO:0043292,contractile muscle fiber,0.050716648291069456,5.097884997717365e-17
GO:CC,GO:0005737,cytoplasm,0.6328555678059536,1.6503779699708287e-16
GO:CC,GO:0016020,membrane,0.535832414553473,1.8226545238884808e-16
GO:CC,GO:0062023,collagen-containing extracellular matrix,0.06504961411245866,3.318176535944073e-16
