GO Category,GO ID,GO Term,%,p-value
GO:BP,GO:0007049,cell cycle,0.2322695035460993,3.0097344007179323e-27
GO:BP,GO:0022402,cell cycle process,0.18439716312056736,7.011915344367802e-25
GO:BP,GO:1903047,mitotic cell cycle process,0.13652482269503546,6.309419913977123e-24
GO:BP,GO:0000278,mitotic cell cycle,0.14893617021276595,1.7013766716230094e-23
GO:BP,GO:0051726,regulation of cell cycle,0.16489361702127658,5.86123082735594e-23
GO:BP,GO:0010564,regulation of cell cycle process,0.12943262411347517,6.380678507983298e-22
GO:BP,GO:0006259,DNA metabolic process,0.14716312056737588,7.177834607727768e-20
GO:BP,GO:0051276,chromosome organization,0.11524822695035461,8.2879486400466e-20
GO:BP,GO:0008283,cell population proliferation,0.21099290780141844,4.532270990697083e-17
GO:BP,GO:0006260,DNA replication,0.0726950354609929,7.426309852839765e-17
