Category,ID,Term,%,p-value
KEGG,KEGG:04510,Focal adhesion,0.03528114663726571,1.3626802258009383e-05
KEGG,KEGG:04022,cGMP-PKG signaling pathway,0.030871003307607496,1.7339893682726154e-05
KEGG,KEGG:04978,Mineral absorption,0.016538037486218304,0.00010487734303752049
KEGG,KEGG:04020,Calcium signaling pathway,0.037486218302094816,0.0002389018480433891
KEGG,KEGG:05414,Dilated cardiomyopathy,0.020948180815876516,0.00047571325759233543
KEGG,KEGG:04925,Aldosterone synthesis and secretion,0.019845644983461964,0.001046521622666686
KEGG,KEGG:04024,cAMP signaling pathway,0.03197353914002205,0.0029970454005847917
KEGG,KEGG:04270,Vascular smooth muscle contraction,0.022050716648291068,0.00716649528986104
KEGG,KEGG:05412,Arrhythmogenic right ventricular cardiomyopathy,0.016538037486218304,0.00819001480424314
KEGG,KEGG:05144,Malaria,0.012127894156560088,0.008933598239008403
