Rank,Name,Score
1,FLNA,61.5
2,RHOB,56.66666667
3,TNS1,53.16666667
4,DPYSL3,52.5
5,PRNP,52.16666667
6,ACTN1,52
7,RHOQ,51.5
8,TGFB1I1,51.33333333
9,CAVIN1,51.16666667
10,SPARCL1,50.66666667
11,SNCA,50.33333333
12,TUBB,50.16666667
13,CSRP1,50.16666667
14,SLIT2,50
15,ILK,49.33333333
16,MEF2C,49
16,PALLD,49
18,CAV2,48.83333333
19,TIMP2,48.5
20,ITPR1,48.16666667
21,EHD2,47.83333333
22,LAMB2,46.66666667
23,PPP3CB,46.5
24,RASL12,46.5
25,TMEM47,46.41666667
26,NCALD,46.16666667
27,MPDZ,45.83333333
28,CORO1C,45.33333333
29,ZBTB20,45.16666667
30,JAM3,45.16666667
31,GABARAPL1,45
31,FNBP1,45
33,ARMCX2,44.66666667
34,SYT11,44.5
35,PCDH7,44.5
36,DPT,44.16666667
37,NFIB,44
38,PRKD1,43.83333333
39,EMILIN1,43.66666667
40,GUCY1A1,43.41666667
