Gene,log2FC,p-value,adj_p-value
TUBB,-1.6891767823875397,0.0003623146614977194,0.004818237419086171
LPP,-1.7765593972082188,0.0009216757093508193,0.009397639111446214
UGP2,-1.2596835181932577,0.004785260188835947,0.03150717907509219
MFN2,-1.3709781666435807,0.0041608624982694695,0.02823557012803813
HIST1H2BD,-1.0588053374669912,0.006918600853194058,0.04113373108607886
SEMA3E,-1.2760047780519488,6.660096741447135e-07,0.00018685698818674513
RGS5,-1.6447490085023166,0.0011861728965477849,0.011212891329138818
MGP,-2.87860422300419,1.7657281367926056e-05,0.0007842041243593308
TP53I3,-1.054642955749969,0.008712805948432602,0.04896142523123993
KCNMB1,-4.641867572595697,3.217882263423499e-05,0.0010265141637307773
SECTM1,-1.1240224169104305,0.00810042158357265,0.04651025095211724
CA1,-5.336304971970198,1.9657381722725025e-05,0.0008181816012152554
MTMR9,-1.5442580502453116,0.0009762989580173186,0.009722321998396285
IL10RA,-1.1514011631646432,0.0014515153798615812,0.012983512998116002
LRRC17,-1.3017228351308934,0.003211050471293138,0.023244117208098974
SLC15A1,-1.722121116683945,0.0031523352954563972,0.022956994968121633
PLAC8,-2.140483589701005,2.259338056791345e-05,0.0008675036560603569
SLC30A4,-1.3172436111979398,0.0025007196239182853,0.019472786511027414
SNCG,-1.2312466028008247,0.00029521327658128664,0.004206689591662356
CLEC10A,-1.1882637629322679,4.168599231806834e-05,0.0011706446619321371
GCNT2,-1.6078058200716183,0.006902970285529192,0.041087070600283396
SLC22A17,-2.1121829903792255,0.00011330421799835312,0.002248833153843253
EFEMP2,-1.4383678928469208,0.0026822414341181058,0.020493333793670826
DMD,-1.2990003650334991,0.0001593604616559764,0.0027951613199758384
SOX10,-1.6434169379663937,1.937264685978015e-05,0.0008149632597307514
CACNB2,-1.7047960342047055,1.778610145099703e-05,0.0007857884737283583
POU2F2,-1.3584528416001858,0.0019244910520852478,0.01592531427818819
MPP2,-1.31447595873176,0.0003336298781585657,0.004581011551984779
