geo_accession,target
GSM2843099,1
GSM2843100,0
GSM2843101,1
GSM2843102,0
GSM2843103,0
GSM2843104,1
GSM2843105,0
GSM2843106,1
GSM2843107,0
GSM2843108,0
GSM2843109,0
GSM2843110,1
GSM2843111,0
GSM2843112,0
GSM2843113,1
GSM2843114,0
GSM2843115,0
GSM2843116,0
GSM2843117,1
GSM2843118,0
GSM2843119,1
GSM2843120,0
GSM2843121,1
GSM2843122,0
GSM2843123,1
GSM2843124,1
GSM2843125,0
GSM2843126,0
GSM2843127,1
GSM2843128,0
GSM2843129,1
GSM2843130,0
GSM2843131,1
GSM2843132,0
GSM2843133,1
GSM2843134,0
GSM2843135,1
GSM2843136,0
GSM2843137,1
GSM2843138,0
GSM2843139,1
GSM2843140,0
GSM2843141,0
GSM2843142,1
GSM2843143,0
GSM2843144,0
GSM2843145,1
GSM2843146,0
GSM2843147,1
GSM2843148,0
GSM2843149,1
GSM2843150,0
GSM2843151,0
GSM2843152,1
GSM2843153,0
GSM2843154,1
GSM2843155,0
GSM2843156,1
GSM2843157,0
GSM2843158,1
GSM2843159,0
GSM2843160,1
GSM2843161,0
GSM2843162,1
GSM2843163,0
GSM2843164,0
GSM2843165,1
GSM2843166,0
GSM2843167,0
GSM2843168,1
GSM2843169,0
GSM2843170,1
GSM2843171,0
GSM2843172,0
GSM2843173,1
GSM2843174,0
GSM2843175,1
GSM2843176,0
GSM2843177,0
GSM2843178,0
GSM2843179,1
GSM2843180,0
GSM2843181,0
GSM2843182,1
GSM2843183,0
GSM2843184,1
GSM2843185,0
GSM2843186,1
GSM2843187,0
GSM2843188,0
GSM2843189,0
GSM2843190,0
GSM2843191,1
GSM2843192,0
GSM2843193,1
GSM2843194,0
GSM2843195,0
GSM2843196,1
GSM2843197,1
GSM2843198,0
GSM2843199,1
GSM2843200,0
GSM2843201,1
GSM2843202,0
GSM2843203,0
GSM2843204,0
GSM2843205,1
GSM2843206,0
GSM2843207,1
GSM2843208,0
GSM2843209,0
GSM2843210,1
GSM2843211,0
GSM2843212,0
GSM2843213,1
GSM2843214,0
GSM2843215,0
GSM2843216,0
GSM2843217,0
GSM2843218,1
GSM2843219,0
GSM2843220,0
GSM2843221,0
GSM2843222,1
GSM2843223,0
GSM2843224,1
GSM2843225,0
GSM2843226,1
GSM2843227,0
GSM2843228,1
GSM2843229,0
GSM2843230,1
GSM2843231,0
GSM2843232,0
GSM2843233,0
GSM2843234,0
GSM2843235,0
GSM2843236,0
GSM2843237,0
GSM2843238,0
GSM2843239,0
GSM2843240,1
GSM2843241,0
GSM2843242,0
GSM2843243,1
GSM2843244,0
GSM2843245,1
GSM2843246,0
GSM2843247,1
GSM2843248,0
GSM2843249,1
GSM2843250,0
GSM2843251,1
GSM2843252,0
GSM2843253,1
GSM2843254,0
GSM2843255,1
GSM2843256,0
GSM2843257,1
GSM2843258,0
GSM2843259,1
GSM2843260,0
GSM2843261,1
GSM2843262,0
GSM2843263,1
GSM2843264,0
GSM2843265,1
GSM2843266,0
GSM2843267,1
GSM2843268,0
GSM2843269,1
GSM2843270,0
GSM2843271,1
GSM2843272,0
GSM2843273,1
GSM2843274,0
GSM2843275,1
GSM2843276,0
GSM2843277,0
GSM2843278,1
GSM2843279,0
GSM2843280,1
GSM2843281,0
GSM2843282,1
GSM2843283,0
GSM2843284,0
GSM2843285,1
GSM2843286,0
GSM2843287,0
GSM2843288,1
GSM2843289,0
GSM2843290,0
GSM2843291,1
GSM2843292,0
