geo_accession,target
GSM3108231,non-cancerous
GSM3108232,non-cancerous
GSM3108233,non-cancerous
GSM3108234,non-cancerous
GSM3108235,non-cancerous
GSM3108236,non-cancerous
GSM3108237,non-cancerous
GSM3108238,non-cancerous
GSM3108239,non-cancerous
GSM3108240,non-cancerous
GSM3108241,non-cancerous
GSM3108242,non-cancerous
GSM3108243,non-cancerous
GSM3108244,non-cancerous
GSM3108245,colorectal carcinoma
GSM3108246,colorectal carcinoma
GSM3108247,colorectal carcinoma
GSM3108248,colorectal carcinoma
GSM3108249,colorectal carcinoma
GSM3108250,colorectal carcinoma
GSM3108251,colorectal carcinoma
GSM3108252,colorectal carcinoma
GSM3108253,colorectal carcinoma
GSM3108254,colorectal carcinoma
GSM3108255,colorectal carcinoma
GSM3108256,colorectal carcinoma
GSM3108257,colorectal carcinoma
GSM3108258,colorectal carcinoma
