geo_accession,target
GSM543123,cancer
GSM543124,cancer
GSM543125,cancer
GSM543126,cancer
GSM543127,cancer
GSM543128,cancer
GSM543129,cancer
GSM543130,cancer
GSM543131,cancer
GSM543132,cancer
GSM543133,cancer
GSM543134,cancer
GSM543135,cancer
GSM543136,cancer
GSM543137,cancer
GSM543138,cancer
GSM543139,cancer
GSM543140,cancer
GSM543141,cancer
GSM543142,cancer
GSM543143,cancer
GSM543144,cancer
GSM543145,cancer
GSM543146,cancer
GSM543147,cancer
GSM543148,cancer
GSM543149,cancer
GSM543150,cancer
GSM543151,cancer
GSM543152,cancer
GSM543153,cancer
GSM543154,cancer
GSM543155,cancer
GSM543156,cancer
GSM543157,cancer
GSM543158,cancer
GSM543159,cancer
GSM543160,cancer
GSM543161,cancer
GSM543162,cancer
GSM543163,cancer
GSM543164,cancer
GSM543165,cancer
GSM543166,cancer
GSM543167,cancer
GSM543168,cancer
GSM543169,cancer
GSM543170,cancer
GSM543171,cancer
GSM543172,cancer
GSM543173,cancer
GSM543174,cancer
GSM543175,cancer
GSM543176,cancer
GSM543177,cancer
GSM543178,cancer
GSM543179,cancer
GSM543180,cancer
GSM543181,cancer
GSM543182,cancer
GSM543183,cancer
GSM543184,cancer
GSM543185,cancer
GSM543186,cancer
GSM543187,cancer
GSM543188,cancer
GSM543189,cancer
GSM543190,cancer
GSM543191,cancer
GSM543192,cancer
GSM543193,cancer
GSM543194,cancer
GSM543195,cancer
GSM543196,cancer
GSM543197,cancer
GSM543198,cancer
GSM543199,cancer
GSM543200,cancer
GSM543201,cancer
GSM543202,cancer
GSM543203,cancer
GSM543204,cancer
GSM543205,cancer
GSM543206,cancer
GSM543207,cancer
GSM543208,cancer
GSM543209,cancer
GSM543210,cancer
GSM543211,cancer
GSM543212,cancer
GSM543213,cancer
GSM543214,cancer
GSM543215,cancer
GSM543216,cancer
GSM543217,cancer
GSM543218,cancer
GSM543219,cancer
GSM543220,cancer
GSM543221,cancer
GSM543222,cancer
GSM543223,cancer
GSM543224,cancer
GSM543225,cancer
GSM543226,cancer
GSM543227,cancer
GSM543228,cancer
GSM543229,cancer
GSM543230,cancer
GSM543231,cancer
GSM543232,cancer
GSM543233,cancer
GSM543234,cancer
GSM543235,cancer
GSM543236,cancer
GSM543237,cancer
GSM543238,cancer
GSM543239,cancer
GSM543240,cancer
GSM543241,cancer
GSM543242,cancer
GSM543243,cancer
GSM543244,cancer
GSM543245,cancer
GSM543246,cancer
GSM543247,cancer
GSM543248,cancer
GSM543249,cancer
GSM543250,cancer
GSM543251,cancer
GSM543252,cancer
GSM543253,cancer
GSM543254,cancer
GSM543255,normal
GSM543256,normal
GSM543257,normal
GSM543258,normal
GSM543259,normal
GSM543260,normal
GSM543261,normal
GSM543262,normal
GSM543263,normal
