geo_accession,target
GSM1092909,0
GSM1092910,1
GSM1092911,0
GSM1092912,1
GSM1092913,0
GSM1092914,1
GSM1092915,1
GSM1092916,0
GSM1092917,0
GSM1092918,1
GSM1092919,1
GSM1092920,0
GSM1092921,1
GSM1092922,0
GSM1092923,1
GSM1092924,0
GSM1092925,0
GSM1092926,1
GSM1092927,1
GSM1092928,0
GSM1092929,0
GSM1092930,1
GSM1092931,0
GSM1092932,1
GSM1092933,0
GSM1092934,0
GSM1092935,1
GSM1092936,0
GSM1092937,0
GSM1092938,1
GSM1092939,0
GSM1092940,1
GSM1092941,0
GSM1092942,1
GSM1092943,1
GSM1092944,0
GSM1092945,0
GSM1092946,0
GSM1092947,1
GSM1092948,0
GSM1092949,1
GSM1092950,1
GSM1092951,1
GSM1092952,1
GSM1092953,0
GSM1092954,1
GSM1092955,1
GSM1092956,0
GSM1092957,1
GSM1092958,1
GSM1092959,0
GSM1092960,1
GSM1092961,0
GSM1092962,0
GSM1092963,1
GSM1092964,0
GSM1092965,1
GSM1092966,0
GSM1092967,1
GSM1092968,0
GSM1092969,1
GSM1092970,0
GSM1092971,1
GSM1092972,1
GSM1092973,1
GSM1092974,0
GSM1092975,0
GSM1092976,0
GSM1092977,1
GSM1092978,0
GSM1092979,1
GSM1092980,1
GSM1092981,0
GSM1092982,1
GSM1092983,0
GSM1092984,0
GSM1092985,1
GSM1092986,0
GSM1092987,1
GSM1092988,0
GSM1092989,1
GSM1092990,1
GSM1092991,0
GSM1092992,1
GSM1092993,1
GSM1092994,0
GSM1092995,0
GSM1092996,1
GSM1092997,0
GSM1092998,1
GSM1092999,0
GSM1093000,1
GSM1093001,0
GSM1093002,1
GSM1093003,0
GSM1093004,1
GSM1093005,0
GSM1093006,0
GSM1093007,1
GSM1093008,0
GSM1093009,1
GSM1093010,0
GSM1093011,1
GSM1093012,1
GSM1093013,0
GSM1093014,0
GSM1093015,1
GSM1093016,0
GSM1093017,1
GSM1093018,0
GSM1093019,1
