geo_accession,source_name_ch1,characteristics_ch1,description
GSM3108231,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108232,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108233,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108234,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108235,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108236,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108237,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108238,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108239,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108240,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108241,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108242,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108243,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108244,non-cancerous colorectal tissue,non-cancerous colorectal,Gene expression data from non-cancerous colorectal tissue
GSM3108245,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108246,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108247,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108248,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108249,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108250,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108251,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108252,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108253,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108254,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108255,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108256,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108257,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
GSM3108258,colorectal carcinoma tissues,colorectal carcinoma,Gene expression data from colorectal carcinoma tissue
