Gene,log2FC,p-value,adj_p-value
TUBB,-1.6891767823875397,0.0003623146614977194,0.004818237419086171
CDT1,1.9903463822500351,1.0544436743556989e-05,0.0006117511405231771
LPP,-1.7765593972082188,0.0009216757093508193,0.009397639111446214
UGP2,-1.2596835181932577,0.004785260188835947,0.03150717907509219
MFN2,-1.3709781666435807,0.0041608624982694695,0.02823557012803813
HIST1H2BD,-1.0588053374669912,0.006918600853194058,0.04113373108607886
SEMA3E,-1.2760047780519488,6.660096741447135e-07,0.00018685698818674513
RGS5,-1.6447490085023166,0.0011861728965477849,0.011212891329138818
CDC25B,1.8191395812445563,0.0008742672414596027,0.00907707748532148
MGP,-2.87860422300419,1.7657281367926056e-05,0.0007842041243593308
TP53I3,-1.054642955749969,0.008712805948432602,0.04896142523123993
KCNMB1,-4.641867572595697,3.217882263423499e-05,0.0010265141637307773
SECTM1,-1.1240224169104305,0.00810042158357265,0.04651025095211724
GJB3,1.7319464073697286,0.0002151221951534635,0.0034004120638105105
CA1,-5.336304971970198,1.9657381722725025e-05,0.0008181816012152554
RAC1,1.2517194432972036,0.0015323934645511139,0.013495031352956807
MTMR9,-1.5442580502453116,0.0009762989580173186,0.009722321998396285
POLD1,1.1743215416720143,0.001346576143326334,0.012295577351573465
ACTR5,1.1893428252651497,0.00042256929669507316,0.0053628716391866315
IL10RA,-1.1514011631646432,0.0014515153798615812,0.012983512998116002
LRRC17,-1.3017228351308934,0.003211050471293138,0.023244117208098974
SLC15A1,-1.722121116683945,0.0031523352954563972,0.022956994968121633
EZH2,1.371683930350811,3.5622847376438837e-06,0.00035746445579896513
NUP160,1.1082663203126983,0.0016804945665300547,0.014402875103888674
PLAC8,-2.140483589701005,2.259338056791345e-05,0.0008675036560603569
SLC30A4,-1.3172436111979398,0.0025007196239182853,0.019472786511027414
CSTF2,1.0847029771268455,0.0031246257748168407,0.02287742334197983
SNCG,-1.2312466028008247,0.00029521327658128664,0.004206689591662356
CLEC10A,-1.1882637629322679,4.168599231806834e-05,0.0011706446619321371
GCNT2,-1.6078058200716183,0.006902970285529192,0.041087070600283396
SLC22A17,-2.1121829903792255,0.00011330421799835312,0.002248833153843253
EFEMP2,-1.4383678928469208,0.0026822414341181058,0.020493333793670826
GZMB,1.4216931432300128,0.0017744841743863786,0.014989377413455952
PFKFB4,1.4428959367044494,0.002298988887151659,0.01819716915999578
DMD,-1.2990003650334991,0.0001593604616559764,0.0027951613199758384
TEX10,1.0054727152021274,0.001697785137117252,0.014492250010364643
SOX10,-1.6434169379663937,1.937264685978015e-05,0.0008149632597307514
CCL24,1.2950195039663985,0.0009708020305421745,0.009707100985317066
NEK2,1.2392026029347225,0.001306957336070305,0.012042026624403446
CACNB2,-1.7047960342047055,1.778610145099703e-05,0.0007857884737283583
DHCR7,1.9385230761979158,0.00017774304401824509,0.0030267413659886663
POU2F2,-1.3584528416001858,0.0019244910520852478,0.01592531427818819
MPP2,-1.31447595873176,0.0003336298781585657,0.004581011551984779
ADCY9,-1.1161450224371936,7.954540101501095e-05,0.001790873964429639
RGL1,-1.5144487922043046,0.0011108503191381506,0.010692314056316984
ATP6V1G2,-1.4165555359003095,0.00025934561194797343,0.0038493654952374886
CASK,1.1787172762701597,0.0014435270279608862,0.012950044085164824
IL1R2,-1.6246872537819352,0.0013912732178412192,0.012580141362540303
SCARA3,-2.0291722787788884,5.602950508991796e-05,0.0014290230537305404
CASZ1,-1.148390013253549,0.004338104431245271,0.029138909337573373
SLC7A11,1.2248876509104492,9.038630196163664e-05,0.001934007129220401
TAF1A,1.1286690067379221,0.000794963405185183,0.008487379772851716
ROR1,-2.416143012152802,6.545090879554453e-05,0.0015923874331155638
RGS1,-1.393736970872824,0.0034322831662242357,0.024498075762928874
PLAU,1.6411468153602027,0.003068936393855833,0.02259755884429828
METTL7A,-2.191486352654164,1.83167313115592e-06,0.0002593093433083236
SPOCK2,-1.0629412497310367,0.004815282168873063,0.03161975399324047
GFRA2,-2.775421224693052,9.462470433867032e-06,0.0005644871486508587
BNC2,-2.6381170196266983,6.720648907389471e-05,0.0016128029957528506
PPP2R3A,-1.2788687649079786,0.0022061279806989743,0.0176875515172365
MYOT,-3.254619970753301,8.981381169053873e-07,0.0002014072739492583
TRPC6,-1.0485917518632148,0.0013734044735703842,0.012469284468125268
CDKN2C.1,-1.2941864565326062,0.00018811659346713354,0.0031429163139548464
RUVBL1,1.2142749490049038,2.4172785362820284e-05,0.0009037729890932767
WDR4,1.6609212599443233,0.0007975583982837072,0.008505395754221035
ANK3.1,-1.7070727093554545,0.001160307924901471,0.011035653994772306
MEOX1,-1.6230180483867511,0.0017589560246789402,0.014870149451228927
C1QA,-1.5473378442883634,0.0029728426569645573,0.02201279496135257
CCL20,2.3504931172516343,4.141540567809589e-05,0.0011706446619321371
EREG,2.0749698372168326,0.0035723815486571734,0.0251639604885064
PODXL2,2.1525318664469153,0.0009769118913146232,0.009722321998396285
CBX7,-2.176871674353644,0.00011271795487960906,0.0022482105894208308
MT1M,-4.093687740110228,1.648028713886076e-07,0.00010902937886291885
SEC23B,1.1331455091281994,0.0025452949660771285,0.01971809944740161
TSPYL2,-1.4733269142733287,0.00263570082831925,0.0202108678621808
ZFHX4,-1.926850305763244,1.1281454587087509e-05,0.0006404348332529947
CCDC69,-2.7532363780307154,8.56750926810573e-06,0.0005424959313733869
MGLL,-1.1346313531211834,0.00036462050482025316,0.0048245963789436755
TRIM29,2.1871884442207583,0.0004626978484816692,0.005754566056676025
CFH,-1.749999711302967,0.0001599120454154272,0.0027955484893071123
AHCY,2.177928052592904,2.1199114906165225e-05,0.0008373157825393541
XPO4,1.1683439228065808,0.003992105125517315,0.027443123711157116
ADNP,1.0257467764389128,0.00039413345757218946,0.005100067620716604
RAD54L,2.2929223250535924,1.0553968199907286e-06,0.00020636916707929823
CRABP1,-1.353818450296123,0.0005366971472463231,0.006410616716938831
CYR61,-1.625783522206633,0.002228172289946428,0.017788384793857224
RFC3,1.5685586356149552,0.00018421216631526246,0.003107182530547694
CD37,-1.5344835954195362,0.001456157655031334,0.013008095329505802
CRTAC1,-1.4870840415269961,4.167446607511759e-05,0.0011706446619321371
DTX3,-1.8110622954315885,0.0004911480372311517,0.006009307213353106
ST6GALNAC2,-1.0004732507722998,0.0075905614812576076,0.044183428159095414
CAV2,-1.1415579641249527,0.001406658284189173,0.012679677426239254
SLC1A1,-1.0722365095222512,0.0029353166622867587,0.021857551930243926
DPM1,1.054978970020889,0.0007626850999870131,0.008242775814496285
HLA-DOA,-1.1880493633705473,0.0044890339187910935,0.029980840701148103
PDE8B,-1.50761838540988,0.0006177752674883774,0.007113510413751119
RFC5,1.3757968278075947,0.0009943231346817734,0.009858270402915347
MFAP2,1.759268403294741,0.004000444404977935,0.02747331884426545
ACVRL1,-1.3266524123869499,0.0009760124040907808,0.009722321998396285
EXOSC5,1.8317361844031568,1.8320576357799944e-05,0.0007944784103043059
MEP1A,-1.6375953519807815,0.0010989280662248135,0.010645487569970464
CEACAM7,-2.48943925525434,0.0011394846993368732,0.010878678969528068
MYH11,-4.20958986920247,1.363198231092877e-05,0.0006987383554422179
UCHL3,1.1902161548879842,0.00021779717335782589,0.0034273030603357434
MMRN1,-3.0318381277853863,2.3820760657004095e-05,0.0008982978992046652
ACAA2,-1.0699620678394208,0.00764668606319045,0.0443633835940813
POPDC2,-3.7358347496753894,2.6651497588919374e-05,0.0009351587802710984
ITGA8,-1.3705032480439838,7.448196979832745e-05,0.0017246822787292534
SGK2,-1.3813577020057395,0.00011622944959498563,0.002274460361572247
BTNL3,-1.7719958604438524,2.0912207267075715e-06,0.0002657474316471463
BMP5,-1.1457702682271236,0.0002541012914929724,0.0038111584330600794
LACTB2,1.1040246247400742,0.000880395136983301,0.009107105919031851
PPP2R2B,-3.085348986646708,2.0920840514690227e-05,0.0008329667450653952
PAQR4,1.9305983337531725,3.705524772252345e-05,0.0011214903040218838
WFDC1,-2.140323869948898,9.745262299021065e-05,0.0020398421886371892
GAD1,1.7039737498986818,0.00037817280882357243,0.004966575483044903
SHMT2,1.740433826236112,0.0006807711931969638,0.007647088328688022
DDIT4,1.6396545164946206,0.00103393499897418,0.01017457563296213
VCL,-2.704884202079367,5.1539010938947585e-06,0.0004186157050033443
TFDP1,1.6250208798809207,0.0008806094462857771,0.009107105919031851
NR3C2,-1.9064653336905613,2.493566141565033e-07,0.00011350123630880642
CTF1,-1.0291535999697516,0.003503788319091946,0.02481321318664779
CSF2,1.0835041623215196,0.0008308782140775461,0.008764478583860948
ANK3.2,-1.120421081893387,0.0008332071835535906,0.008771520090869754
BTK,-1.346684858699773,0.0053821467010156995,0.03421951629565794
LARGE,-1.7418337983541567,0.0003231761086770151,0.00447823691800604
PTK7,1.244283841736766,0.0014167153059313556,0.012752853295250796
WNT11,2.1089995204717398,0.0030046602429929983,0.022217232146892904
RANGAP1,1.2928974254275714,0.002662014409346978,0.020368268223401986
ASPHD1,1.1145563523010655,0.0007195284963005893,0.007922316363334642
COX7A1,-2.9508328598220777,5.56760369957777e-05,0.0014234461855651736
C1GALT1,1.0343868929483788,0.002879593873558338,0.021594908885584158
PUS1,1.7743376628541634,9.610674487643815e-05,0.0020255311759487236
GPX2,1.3876106814708522,0.0007274372659192601,0.00798441797384768
CA2,-2.903999320434911,9.78048646730683e-07,0.0002014072739492583
PDLIM4,-1.1802631093112859,0.000557233519583681,0.006588833967843323
AP1S1,1.618498187629655,0.00046111302209756583,0.005748397166857377
HIF3A,-1.042001398404967,0.0020075751843310753,0.016432547574691335
LFNG,1.490948240683423,0.0029502959266755374,0.02193815118997676
CITED2,-1.9534872592713024,2.665809194635862e-05,0.0009351587802710984
ADAMTS8,-3.601579363105911,5.2531778948627655e-05,0.001359517289016077
MCM7,1.659242125920745,8.692568963864168e-05,0.0018924708389575619
ITIH5,-1.0179721113635096,0.0002027695540172941,0.00328035894595201
KIAA0101,1.374919208729033,0.0014022223042262148,0.012654756675491112
CDC20,2.164438043025719,2.4834556543861042e-05,0.0009136866987687413
SORBS1,-1.2426749401814794,0.0020318429448074734,0.016618303372751442
SLC24A3,-1.3001383286165662,0.0048265261562371415,0.03163456839460458
MTUS1,-1.169592808070054,0.004524017811900262,0.03013823601000307
DNAJB5,-2.5223656530239356,0.00011842905759719394,0.0022889714884291646
TGFBI,1.2994072659993456,0.0024212480820445122,0.01893774703578371
CNNM2,-1.0714972728409793,3.877549898060199e-05,0.0011461053394180353
FBLN5,-1.7740733673976854,0.00015393945964171867,0.0027448618498381624
ADAM28,-1.2317681540764112,8.006092612223176e-05,0.0017986453594141388
EPHA1,1.5733303670533063,9.727912219510354e-05,0.0020398421886371892
CEACAM1,-1.4007347482737582,0.0011348362229163364,0.01084410468576796
GBA3,-2.858493804339306,0.0005360480519387724,0.0064101148136143805
TCF3,1.2402554375587849,0.0002566805877430942,0.0038335082404233833
PTGDS,-1.9957558119814498,0.00021036858001065152,0.0033573265243156047
CENPF,2.324817845073581,5.880417745807823e-06,0.00046336814162675224
CHEK1,2.2164113794031164,6.958502952502022e-06,0.0005014939558402619
ATP2B4,-1.2435974914470935,0.008702026439480617,0.048926888804300225
ELK4.1,1.0874498381116284,1.0347009639592351e-05,0.0006036136728422964
ST8SIA1,-1.7463505283080691,1.6096644761814793e-05,0.0007619853246169371
PTGS1,-1.1675698370187881,0.002225729055102481,0.017788384793857224
CD36,-1.120570876216865,0.0005568566671833742,0.006588833967843323
LTBP4,-1.4308340566238769,0.0013404188220655228,0.012254097265965241
FXYD3,-1.2792972808636796,0.003510493201701133,0.024827139399205205
RPRM,-2.480194379294591,0.00013041696458203472,0.0024590584446816154
TCEA2,-1.7028287592171996,0.0018038465561429507,0.015164662250249535
SKP2,1.372810900594983,0.0009314501734379607,0.009456906135895603
CADPS,1.409332599197066,0.0005143299395946502,0.006213741226750471
BCL11B,1.1468460725853422,0.0006863831648783616,0.0076855989797991724
ITGA2,2.168429866421799,9.117374806849412e-07,0.0002014072739492583
CSE1L,1.762221092402187,6.921848023130638e-05,0.0016461214701855046
RAB27A,-1.1302067866321865,0.0006199721324659896,0.007131030225172532
MAP4K1,-1.133687689325893,0.004056265117005844,0.027739704255482323
REEP2,-2.220091207029556,1.176738818435979e-05,0.000647745956660841
ARHGEF4,-1.3882877951724573,0.003089989241777801,0.022689288180759246
IFRD2,1.120707723969602,0.00019793801255564474,0.0032453842772904545
CDKN3,1.5626295810406816,4.956260354185269e-06,0.00041207207149482095
DENND2A,-1.4602303995077452,0.0012907761025588358,0.011945052468815729
DCN,-1.6883027286977248,0.0006009042123218594,0.006957179361739598
CACNA1C,-2.4864761252890535,0.00015325949067228594,0.0027381843688809937
SYNE1,-1.210291558707219,0.0008917307764391877,0.009159324191071383
PHLDB1,-1.3462944073100112,0.0023313950572967255,0.018412266574417448
DACH1,1.459602023554012,8.465001989818626e-05,0.0018699153977090978
CSPG4,-2.5193197551239055,0.0004199350054091128,0.005342281592909424
PINK1,-1.6687208051421911,5.789689336922545e-05,0.0014660270913324977
SQRDL,-1.109794595566408,0.0003473625127653367,0.0047102669594376945
KIR2DL3,-1.533120765525816,0.0011748779885779504,0.011126041866721594
COPZ2,-1.5521681295048884,0.00041731541974244704,0.005315360092955969
RAB23,-1.6419550672326582,0.002247171370891252,0.01789433069776827
SLC25A20,-1.1389323001818938,0.0001204828343684463,0.0023130513601753175
HYAL3,1.0116190945350552,0.005382954500150378,0.03421951629565794
ITM2A,-2.2281435042637727,7.243212515336056e-08,9.560135118679176e-05
DUSP26,-1.0499072593129612,0.00011950865213841993,0.0022985279743708126
EGLN3,-1.1677597835828666,0.0011924390920614977,0.011241932475961924
SLC25A15,1.828829192729742,2.371142733003996e-05,0.0008982978992046652
PTGIS,-2.6818304473243804,0.0002813833497265119,0.0040868396221355
GABARAPL1,-1.7825185855757824,0.0003983957294355604,0.005136337615519026
FOXA2,2.3325164863862735,0.00016982227717439084,0.0029252095019321254
LTC4S,-1.086985416906519,0.00021048869770782556,0.0033573265243156047
BLK,-1.846710153586256,0.00010085612335486475,0.0020799605595781577
PDCD5,1.103757073934757,0.0018876514766134381,0.015694261371308103
PIP5K1C,-1.372324772581953,0.002599391784072594,0.019975966410496742
STON1,-3.2322824659978404,0.00022469050856211347,0.0034992729792143896
PAPSS2,-1.4707964074525786,0.0002099029663091479,0.0033573265243156047
AKR1C4,1.7647501392761686,0.005253175211169649,0.03367837101077129
CIDEB,-1.0387450619793877,0.00025253710960642983,0.0037984890887952888
LRRC8E,1.5289755572331472,4.404713721399222e-06,0.0003835531944420303
MIPEP,1.0750841084110632,0.0005714621302121909,0.006697079503785264
PTPRR,-1.225925399105127,0.0006287898317566949,0.00720889449893479
IGFBP6,-2.825382091791382,1.5029873770760352e-05,0.0007279836566305439
PPP1R13L,1.0037218151014966,0.0030891813645787156,0.022689288180759246
CHGA,-2.19474887905946,2.4440059289389567e-05,0.0009086710775938889
FOS,-1.3774007459016286,0.004133821179714821,0.028088171066028827
ILF3,1.139071671035606,0.0006901035080340069,0.0077027515236057905
GTF2IRD1,1.5684123380963735,0.0003021821427267992,0.004271407289226603
RAD54B,1.117358719320696,0.002410715426140489,0.018897360196449463
TIMP2,-1.6205996322078766,0.0007126773612545108,0.007879044982573415
ARID3A,2.182711149894986,0.0007004791244859198,0.0077774543380092825
SERPING1,-1.5356352126571708,0.001507404620015103,0.013319401993924245
GPM6B,-1.2905409638935597,0.002178290389228491,0.017536136286476236
RAD51AP1,1.8734439050116856,3.6118812047508444e-06,0.00035746445579896513
PCDH7,-2.3603626010994767,8.828702619458391e-05,0.0019102924376815811
TUBAL3,-2.136898673269637,0.00034917428060492683,0.004714745817017164
NDRG2,-1.0768112047063205,0.0003121012703604133,0.004354251115486149
DPEP1,3.476458140152931,6.858196993024195e-07,0.00018685698818674513
CPNE1,1.5350006295662117,0.002244217473382724,0.017884296076564665
NAT2,-1.1998315142051106,0.002816461243638003,0.02128776970048223
SOX17,-1.4076140054916253,0.0016685781715432225,0.01433565249253449
SLC2A5,-1.3991935727712952,0.003795299414548075,0.026330201391730042
SVIL.1,-2.428368855030414,0.00016138652033668074,0.002812013643952165
CKB,-1.418700153699671,0.001316889296336776,0.01207034208335071
ACTA2,-1.5845704274411383,0.0007599983701065927,0.008230587476877448
F12,1.6360398752052319,0.00011253850708794191,0.0022482105894208308
PSRC1,1.471117882049093,1.6488788199105483e-05,0.0007656084104038916
CLIC4,-1.4349186793100202,0.0019791507905840616,0.016250274648349227
AKR1B10,-1.9155041783368136,5.1702823872969e-05,0.0013513121714719793
JAM2,-2.381873173355219,7.886869576394429e-06,0.0005264828864664633
FBLN1,-2.357748985710661,9.048200793966078e-05,0.001934007129220401
SCN9A,-2.581039963911922,1.3318001542443738e-05,0.0006893371484640365
COL10A1,3.5949732497406317,7.642247312506486e-05,0.0017391053744128446
POMC,-1.2337057446144795,6.9106404045283054e-06,0.0005014939558402619
WDR62,1.2385243714844718,4.136647819001586e-05,0.0011706446619321371
DDN,1.251045174100044,0.00027052502844256474,0.003978375731650476
RASIP1,-1.1695074348402614,0.00786945459251245,0.045381524326782614
ADAMTS1,-2.5463768407599066,0.00016313558778977856,0.002837806707532573
SLC6A6,1.4777924781110678,8.53364457523671e-06,0.0005424959313733869
ABI3BP,-3.7590255695806887,2.4817099211748223e-07,0.00011350123630880642
PBK,1.714922160783854,0.0001012296485748588,0.0020800351927112667
INA,-2.0952103577851666,2.197543521117852e-05,0.0008566612806957558
HSP90AB1,1.0279451833860882,0.006876507623561629,0.04102205875547302
EXO1,2.2258744423004115,5.080337554661602e-07,0.00016255540678688441
FAM57A,1.3025442069351874,0.0013915716555968438,0.012580141362540303
NUP205,1.0209696387578397,0.003858237940033205,0.02666173717854098
ATIC,1.2666630016178473,0.001390020776016659,0.012580141362540303
ATP11A,1.5720253601109824,0.0022665831204673782,0.01802172527787278
CHAF1B,1.7844676457869677,8.819435525837886e-06,0.0005510320693332677
HCFC2,-1.1547034590173337,0.0006758544925731327,0.007599944182193512
PPAT,1.9557316452736297,3.6223787073102823e-06,0.00035746445579896513
TRPC1,-1.7479987964849761,0.00011290591345786479,0.0022482105894208308
CKAP2,2.045909453437105,1.9198585544420528e-06,0.0002598946984147902
TM9SF4,1.4293814866712407,0.002889731369227586,0.021640193991258213
CAMK1,-1.1190379368674506,0.00517029141226176,0.033348887275976916
HIGD1A,-1.1101090380606011,0.005044643871666153,0.03279950408923824
SGCE,-1.735644506762678,0.00010514790243151558,0.002135251588121738
CIRBP,-1.1726295220874576,0.0031356423185271314,0.022897128106035947
MTHFD2,1.3844456922815316,0.00011402436096237366,0.0022504359390686044
C1orf115,-1.8500230774881021,0.0001452905867101621,0.002658792556451649
MYL9,-3.638197112110206,1.2613116676820087e-05,0.0006659094949527165
