Gene,log2FC,p-value,adj_p-value
CDT1,1.9903463822500351,1.0544436743556989e-05,0.0006117511405231771
CDC25B,1.8191395812445563,0.0008742672414596027,0.00907707748532148
GJB3,1.7319464073697286,0.0002151221951534635,0.0034004120638105105
RAC1,1.2517194432972036,0.0015323934645511139,0.013495031352956807
POLD1,1.1743215416720143,0.001346576143326334,0.012295577351573465
ACTR5,1.1893428252651497,0.00042256929669507316,0.0053628716391866315
EZH2,1.371683930350811,3.5622847376438837e-06,0.00035746445579896513
NUP160,1.1082663203126983,0.0016804945665300547,0.014402875103888674
CSTF2,1.0847029771268455,0.0031246257748168407,0.02287742334197983
GZMB,1.4216931432300128,0.0017744841743863786,0.014989377413455952
PFKFB4,1.4428959367044494,0.002298988887151659,0.01819716915999578
TEX10,1.0054727152021274,0.001697785137117252,0.014492250010364643
CCL24,1.2950195039663985,0.0009708020305421745,0.009707100985317066
NEK2,1.2392026029347225,0.001306957336070305,0.012042026624403446
DHCR7,1.9385230761979158,0.00017774304401824509,0.0030267413659886663
CASK,1.1787172762701597,0.0014435270279608862,0.012950044085164824
SLC7A11,1.2248876509104492,9.038630196163664e-05,0.001934007129220401
TAF1A,1.1286690067379221,0.000794963405185183,0.008487379772851716
PLAU,1.6411468153602027,0.003068936393855833,0.02259755884429828
RUVBL1,1.2142749490049038,2.4172785362820284e-05,0.0009037729890932767
WDR4,1.6609212599443233,0.0007975583982837072,0.008505395754221035
CCL20,2.3504931172516343,4.141540567809589e-05,0.0011706446619321371
EREG,2.0749698372168326,0.0035723815486571734,0.0251639604885064
PODXL2,2.1525318664469153,0.0009769118913146232,0.009722321998396285
SEC23B,1.1331455091281994,0.0025452949660771285,0.01971809944740161
TRIM29,2.1871884442207583,0.0004626978484816692,0.005754566056676025
AHCY,2.177928052592904,2.1199114906165225e-05,0.0008373157825393541
XPO4,1.1683439228065808,0.003992105125517315,0.027443123711157116
ADNP,1.0257467764389128,0.00039413345757218946,0.005100067620716604
RAD54L,2.2929223250535924,1.0553968199907286e-06,0.00020636916707929823
RFC3,1.5685586356149552,0.00018421216631526246,0.003107182530547694
DPM1,1.054978970020889,0.0007626850999870131,0.008242775814496285
RFC5,1.3757968278075947,0.0009943231346817734,0.009858270402915347
MFAP2,1.759268403294741,0.004000444404977935,0.02747331884426545
EXOSC5,1.8317361844031568,1.8320576357799944e-05,0.0007944784103043059
UCHL3,1.1902161548879842,0.00021779717335782589,0.0034273030603357434
LACTB2,1.1040246247400742,0.000880395136983301,0.009107105919031851
PAQR4,1.9305983337531725,3.705524772252345e-05,0.0011214903040218838
GAD1,1.7039737498986818,0.00037817280882357243,0.004966575483044903
SHMT2,1.740433826236112,0.0006807711931969638,0.007647088328688022
DDIT4,1.6396545164946206,0.00103393499897418,0.01017457563296213
TFDP1,1.6250208798809207,0.0008806094462857771,0.009107105919031851
CSF2,1.0835041623215196,0.0008308782140775461,0.008764478583860948
PTK7,1.244283841736766,0.0014167153059313556,0.012752853295250796
WNT11,2.1089995204717398,0.0030046602429929983,0.022217232146892904
RANGAP1,1.2928974254275714,0.002662014409346978,0.020368268223401986
ASPHD1,1.1145563523010655,0.0007195284963005893,0.007922316363334642
