Gene,p_value,Log2FC,adjusted_p_value
TUBB,4.708583882481014e-09,-2.2512597622337793,1.2061804255076078e-07
TXN,1.861492932669787e-10,0.8408201551012304,9.301750972773666e-09
ACTB,0.00711365672787946,-0.29708284323981715,0.018390555978473132
RPS28,0.02011226984751174,0.13611479128654302,0.045453402027017156
IPO13,0.0001888703822048825,-0.6461027632670842,0.0007578044056489624
CDT1,1.7135299759951132e-11,2.768438999715473,1.5322321634959805e-09
LPP,4.053372840756468e-09,-1.7754171181022578,1.0734787639204628e-07
HNRPAB,3.837628722224693e-11,0.7002710279759121,2.6439116637836207e-09
LOH12CR1,0.0077404420803189695,0.6712024726804717,0.019769049862974442
SNIP1,0.007755256163909727,-0.25354673858969434,0.01980004635057813
TICAM2,0.017587635979485546,-0.5431131183661879,0.04048185480067518
SPP1,0.022277553656433396,2.586896087935994,0.04976890738311364
BICD2,8.058769739880406e-06,-0.8833776975142769,5.0147474869426916e-05
MFN2,3.426841663233166e-07,-1.4333779674789646,3.6671999738140165e-06
PPP1R14B,5.152263577908143e-10,0.988260870814095,2.085726554969238e-08
DERL3,0.01787142755611031,-0.9455398730697029,0.04104988081432503
SYTL2,0.012318093251225529,1.0537769477031018,0.029741465028862334
SELM,5.029839078585216e-07,-2.5430826660050467,5.044391958378591e-06
DCK,6.056487519220609e-07,1.0643293322493017,5.831472184305121e-06
ZFPM1,0.0008708759335452558,0.3655886141390141,0.0028921424715221485
MEST,0.010549346932730895,,0.025976991048473994
HIST1H2BD,0.0031233312542631618,-1.1980573302332775,0.008910491325176696
ERGIC1,5.573511426785861e-06,-1.0184445180664863,3.650333806383774e-05
SKIV2L2,3.6200331929972155e-05,0.518556562941539,0.0001812385835103819
NUMBL,0.0002205338907166439,-1.1379153804516715,0.0008695918648521203
HDAC8,0.0003577641675150448,0.9194195969422507,0.0013243029235297731
SEMA3E,5.338027860259059e-07,,5.279483283637404e-06
RGS5,7.619846233061144e-05,-2.3822918812662266,0.000343924046458247
XRCC2,7.455626692241429e-05,1.1969826090660445,0.00033774887184129845
SPRY1,0.0005312076007332163,-0.796851183852116,0.0018684492491938592
LDLR,0.01654300813994374,0.5597439611728774,0.03841219306850659
EXOC6,0.020796580214398185,0.27078510863640126,0.04680443699667336
GPC2,0.0001527410970597155,1.35952860225317,0.0006312236395627289
LOC221091,1.1390310385197926e-07,-3.0996456160138326,1.515611147593813e-06
KIAA0586,0.013248397335034155,0.3409013691225402,0.031751448047887244
TMEM25,0.00010975111784114404,-2.1740525963840884,0.00047238107364683653
MKL1,0.0003173880673872239,-0.6687545303986937,0.001192974735160653
RRAGB,0.021452671949038177,,0.048076176837808154
FHOD1,0.004763068420524755,0.4526058492865186,0.012912612714276081
MSH5,0.00045468807936575867,0.6683340465862719,0.001626903282685482
SLC38A2,0.010413091715326762,-0.2968218013326247,0.025669966286566162
GSTM4,1.587713861540843e-05,-0.9877374079297914,8.955465116812119e-05
CCT3,2.213442842015466e-10,0.9382552182150778,1.0537127898556029e-08
EHD1,1.2726637849284643e-07,-0.8282088566359977,1.6585620380482805e-06
RPS16,0.004888115927705664,0.22459517575449794,0.013220917305562357
UBIAD1,2.2280664224180043e-06,0.8830968063384788,1.7096999486309584e-05
EVC,0.0002288471026461239,-1.757652842757687,0.0008990478003056859
SETD8,0.0012616216133507867,0.3364555487695249,0.004006845221270415
CDC25B,6.01052843861797e-06,1.8437680482006744,3.89193119913313e-05
SCYL3,0.010742871812442876,0.402785714732687,0.026377406561951606
TPST1,0.0003369812555265486,-1.1883110774675263,0.0012572472540533053
MGP,6.610488504838082e-08,-3.1888606784132225,9.73752171257158e-07
C6orf129,4.845430648692284e-07,0.7255847897981109,4.890401888561857e-06
C15orf23,1.8130200335401766e-09,2.7950125878072853,5.5399499206687714e-08
PPEF1,0.0009049419504597734,1.4185422059970123,0.002989610160684976
GABBR1,1.5252193222616252e-06,-0.9903727589211453,1.2536296941479028e-05
KCTD2,8.80668347583744e-10,-0.9680002815551116,3.140956048681315e-08
KCNMB1,2.775481827598913e-07,-5.112833385172308,3.0987060323832057e-06
MGC42105,1.9803223743961888e-07,,2.366217458795115e-06
MPHOSPH10,2.6656165712851675e-10,0.8339496312008308,1.2217776449874e-08
LMBRD1,0.016211599125115005,-0.3690579319823346,0.037753318810786404
E2F3,6.496995965435135e-10,0.9800912936156916,2.4637497179010776e-08
LRBA,0.008377970379789679,0.5457645872199945,0.021235192032568007
PNKD,0.015049800026697273,0.8398193192017502,0.03543459602974446
GUCY1B2,0.015072197382257745,,0.035479799101019296
CCM2,0.0010970279707576366,,0.003546039414729333
FBXO32,6.25036523521642e-06,-2.6960289413130543,4.0155836194046064e-05
TTC8,1.1243750930883544e-06,-0.717428587351721,9.78162237845963e-06
PDHX,0.0002631826642365271,0.5306744717752281,0.0010135968849599528
NLRP7,0.012118281327654702,,0.029310069011414294
SUCLG2,0.0012911464187525244,-0.5157602683388518,0.004089490598744432
GJB3,6.225446211703601e-06,2.257986263562504,4.0007328725501936e-05
RAB2A,0.005549436237565965,0.6676294812672161,0.014738260923520097
ZMYND8,4.2926258230085304e-07,1.5501139618670816,4.42301956607623e-06
UCN2,9.432764498339925e-07,4.742590166041365,8.410628924082512e-06
ANKRD35,1.0505910093060797e-07,-2.7935524666860605,1.416797018264199e-06
RREB1,0.006666165752805855,0.37861071864660456,0.017357068199559282
CA1,8.572618707275873e-06,-5.6401623725918615,5.266545926397341e-05
MTHFD2L,0.01019257234055512,0.6362946153483149,0.02518638171017739
RAC1,1.3009417743495743e-07,1.4630218866398579,1.683786016462716e-06
TUBA3E,4.659404921839868e-05,-1.6480430588938924,0.0002244608877005334
NOMO2,4.816563123072664e-05,0.400670804233469,0.00023072907864876696
RIOK1,7.845749817770648e-06,1.2877602179526022,4.902820111476734e-05
APEX2,1.672455568612505e-07,1.1091220211956827,2.056327388587276e-06
MTMR9,1.277870588476471e-07,-1.758330484404068,1.6607077407593457e-06
DKFZp434K191,0.00017442439626619464,-0.9207605805249592,0.0007085571885678927
C5orf16,2.7032765289662024e-06,2.620338082986774,2.0036580861539002e-05
DTNA,1.994470932357788e-05,-2.0857539552926974,0.0001089518423132853
POLD1,8.70704364908088e-09,1.5173546648522933,1.9296409221899126e-07
ACTR5,3.061905085793184e-08,1.4691209514279757,5.269612290398448e-07
C9orf19,7.644577362876427e-11,-2.6634477903173934,4.522328112481351e-09
SURF6,3.743285837172423e-05,0.8739077088340848,0.00018648338875327427
KIAA1683,4.474290060474462e-09,,1.1609520360642874e-07
FAM89A,6.369521026183522e-08,1.4950956439480976,9.436992289591206e-07
C10orf111,0.00023885732367104882,,0.0009338757258227963
THEX1,0.017538489420729584,0.5886883760035992,0.04039387970405576
C14orf2,0.015955552674048995,0.3092766372893472,0.037239135246828294
GLT8D1,0.00964455744409948,1.7946674550228752,0.02402210511692405
