title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_institute,contact_address,contact_city,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
"""Normal N1 (1690411082_A)""","""GSM277495""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411082_A""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T1 (1690411082_B)""","""GSM277496""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411082_B""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N2 (1690411082_C)""","""GSM277497""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411082_C""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T2 (1690411082_D)""","""GSM277498""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411082_D""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N3 (1690411082_E)""","""GSM277499""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411082_E""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T3 (1690411082_F)""","""GSM277500""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411082_F""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N4 (1690411082_G)""","""GSM277501""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411082_G""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T4 (1690411082_H)""","""GSM277502""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411082_H""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N5 (1690411116_A)""","""GSM277503""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411116_A""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T5 (1690411116_B)""","""GSM277504""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411116_B""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Normal N7 (1690411116_E)""","""GSM277505""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411116_E""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Normal""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
"""Primay tumor T7 (1690411116_F)""","""GSM277506""","""Public on Mar 29 2008""","""Mar 26 2008""","""Mar 28 2008""","""RNA""","""1""","""1690411116_F""","""Homo sapiens""","""epithelial tissues""","""total RNA""","""standard Illumina protocol""","""Cy3""","""standard Illumina protocol""","""9606""","""standard Illumina protocol""","""standard Illumina protocol""","""Primay tumor""","""BeadStudio GX 3.2""","""GPL6104""","""qiang,,yu""","""yuq@gis.a-star.edu.sg""","""GIS""","""BIOPOLIS STREET""","""SINGAPORE""","""138672""","""Singapore""","""NONE""","""22184"""
