Gene,p_value,Log2FC,adjusted_p_value
TUBB,4.708583882481014e-09,-2.252253658765735,1.2061804255076078e-07
CDT1,1.7135299759951132e-11,2.7839291508372463,1.5322321634959805e-09
LPP,4.053372840756468e-09,-1.7755664517671796,1.0734787639204628e-07
SPP1,0.022277553656433396,2.590831625544105,0.04976890738311364
MFN2,3.426841663233166e-07,-1.4348505564693816,3.6671999738140165e-06
SYTL2,0.012318093251225529,1.0737602932324943,0.029741465028862334
SELM,5.029839078585216e-07,-2.544829962938975,5.044391958378591e-06
DCK,6.056487519220609e-07,1.0682991096507566,5.831472184305121e-06
HIST1H2BD,0.0031233312542631618,-1.1993474078101087,0.008910491325176696
ERGIC1,5.573511426785861e-06,-1.0208310318927118,3.650333806383774e-05
NUMBL,0.0002205338907166439,-1.1536353276696092,0.0008695918648521203
RGS5,7.619846233061144e-05,-2.386423392683019,0.000343924046458247
XRCC2,7.455626692241429e-05,1.3078165222905227,0.00033774887184129845
GPC2,0.0001527410970597155,1.3717896214386842,0.0006312236395627289
LOC221091,1.1390310385197926e-07,-3.1251820367518794,1.515611147593813e-06
TMEM25,0.00010975111784114404,-2.223129744694055,0.00047238107364683653
EVC,0.0002288471026461239,-1.8832580680809277,0.0008990478003056859
CDC25B,6.01052843861797e-06,1.8444612058817764,3.89193119913313e-05
TPST1,0.0003369812555265486,-1.194246332674787,0.0012572472540533053
MGP,6.610488504838082e-08,-3.1895392138265564,9.73752171257158e-07
C15orf23,1.8130200335401766e-09,2.869758407678761,5.5399499206687714e-08
PPEF1,0.0009049419504597734,1.4940864887055643,0.002989610160684976
KCNMB1,2.775481827598913e-07,-5.12456467984637,3.0987060323832057e-06
FBXO32,6.25036523521642e-06,-2.706888768882349,4.0155836194046064e-05
GJB3,6.225446211703601e-06,2.2682992440850294,4.0007328725501936e-05
ZMYND8,4.2926258230085304e-07,1.5529710273615365,4.42301956607623e-06
UCN2,9.432764498339925e-07,5.438696535278215,8.410628924082512e-06
ANKRD35,1.0505910093060797e-07,-2.839157243648547,1.416797018264199e-06
CA1,8.572618707275873e-06,-5.646035121127727,5.266545926397341e-05
RAC1,1.3009417743495743e-07,1.4659733656389466,1.683786016462716e-06
TUBA3E,4.659404921839868e-05,-1.772574234711413,0.0002244608877005334
RIOK1,7.845749817770648e-06,1.3109051621805028,4.902820111476734e-05
APEX2,1.672455568612505e-07,1.110664700819159,2.056327388587276e-06
MTMR9,1.277870588476471e-07,-1.7621008680985462,1.6607077407593457e-06
