geo_accession,target
GSM277495,0
GSM277496,1
GSM277497,0
GSM277498,1
GSM277499,0
GSM277500,1
GSM277501,0
GSM277502,1
GSM277503,0
GSM277504,1
GSM277505,0
GSM277506,1
GSM277507,0
GSM277508,1
GSM277509,0
GSM277510,1
GSM277511,0
GSM277512,1
GSM277513,0
GSM277514,1
GSM277515,0
GSM277516,1
GSM277517,0
GSM277518,1
GSM277519,0
GSM277520,1
GSM277521,0
GSM277522,1
GSM277523,0
GSM277524,1
GSM277525,0
GSM277526,1
GSM277527,0
GSM277528,1
GSM277529,0
GSM277530,1
GSM277531,0
GSM277532,1
GSM277533,0
GSM277534,1
GSM277535,0
GSM277536,1
GSM277537,0
GSM277538,1
GSM277539,0
GSM277540,1
GSM277541,1
GSM277542,0
