Gene,p_value
TUBB,4.708583882481014e-09
TXN,1.861492932669787e-10
ACTB,0.00711365672787946
PDCD1LG2,0.029869539516898302
RPS28,0.02011226984751174
IPO13,0.0001888703822048825
CDT1,1.7135299759951132e-11
LPP,4.053372840756468e-09
HNRPAB,3.837628722224693e-11
LOH12CR1,0.0077404420803189695
SNIP1,0.007755256163909727
ITGA11,0.025721887223392394
TICAM2,0.017587635979485546
SPP1,0.022277553656433396
BICD2,8.058769739880406e-06
MFN2,3.426841663233166e-07
PPP1R14B,5.152263577908143e-10
DERL3,0.01787142755611031
SYTL2,0.012318093251225529
SELM,5.029839078585216e-07
DCK,6.056487519220609e-07
ZFPM1,0.0008708759335452558
LIPT1,0.02576983401787907
MEST,0.010549346932730895
HIST1H2BD,0.0031233312542631618
ERGIC1,5.573511426785861e-06
SKIV2L2,3.6200331929972155e-05
NUMBL,0.0002205338907166439
HDAC8,0.0003577641675150448
SEMA3E,5.338027860259059e-07
RGS5,7.619846233061144e-05
XRCC2,7.455626692241429e-05
SPRY1,0.0005312076007332163
LDLR,0.01654300813994374
EXOC6,0.020796580214398185
GPC2,0.0001527410970597155
ADAM33,0.03543184442176933
LOC221091,1.1390310385197926e-07
KIAA0586,0.013248397335034155
TMEM25,0.00010975111784114404
MKL1,0.0003173880673872239
RRAGB,0.021452671949038177
FHOD1,0.004763068420524755
MSH5,0.00045468807936575867
SLC38A2,0.010413091715326762
GSTM4,1.587713861540843e-05
CCT3,2.213442842015466e-10
EHD1,1.2726637849284643e-07
RPS16,0.004888115927705664
UBIAD1,2.2280664224180043e-06
EVC,0.0002288471026461239
SETD8,0.0012616216133507867
CDC25B,6.01052843861797e-06
SCYL3,0.010742871812442876
TPST1,0.0003369812555265486
MGP,6.610488504838082e-08
C6orf129,4.845430648692284e-07
C15orf23,1.8130200335401766e-09
PPEF1,0.0009049419504597734
GABBR1,1.5252193222616252e-06
KCTD2,8.80668347583744e-10
KCNMB1,2.775481827598913e-07
MGC42105,1.9803223743961888e-07
MPHOSPH10,2.6656165712851675e-10
LMBRD1,0.016211599125115005
E2F3,6.496995965435135e-10
LRBA,0.008377970379789679
PNKD,0.015049800026697273
GUCY1B2,0.015072197382257745
CCM2,0.0010970279707576366
HSPC049,0.042291556759629596
CBR3,0.044422566864238684
POPDC3,0.040318774892431346
FBXO32,6.25036523521642e-06
MEGF10,0.03030418346984917
TTC8,1.1243750930883544e-06
PDHX,0.0002631826642365271
NLRP7,0.012118281327654702
SUCLG2,0.0012911464187525244
GJB3,6.225446211703601e-06
RAB2A,0.005549436237565965
ZMYND8,4.2926258230085304e-07
UCN2,9.432764498339925e-07
ANKRD35,1.0505910093060797e-07
