title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
"""Colorectal Adenocarinoma 17753""","""GSM615865""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17753""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17779""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17779""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615865/suppl/GSM615865.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17754""","""GSM615866""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17754""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17780""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17780""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615866/suppl/GSM615866.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17755""","""GSM615867""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17755""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17781""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17781""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615867/suppl/GSM615867.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17756""","""GSM615868""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17756""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17782""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17782""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615868/suppl/GSM615868.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17757""","""GSM615869""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17757""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17783""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17783""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615869/suppl/GSM615869.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17758""","""GSM615870""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17758""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17784""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17784""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615870/suppl/GSM615870.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17759""","""GSM615871""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17759""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17785""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17785""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615871/suppl/GSM615871.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17760""","""GSM615872""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17760""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17786""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17786""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615872/suppl/GSM615872.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17761""","""GSM615873""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17761""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17787""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17787""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615873/suppl/GSM615873.txt.gz""","""24526"""
"""Colorectal Adenocarinoma 17762""","""GSM615874""","""Public on Jun 03 2011""","""Nov 01 2010""","""Jun 03 2011""","""RNA""","""1""","""total RNA from colorectal adenocarcinoma 17762""","""Homo sapiens""","""tissue pair: normal adjacent tissue 17788""","""total RNA""","""Total RNA was isolated using the Trizol reagent according to the manufacturerâ€™s protocol. The quality of the RNA samples was assessed using the Bio-Rad Experion RNA StdSens analysis kit.""","""biotin""","""Biotinylated, amplified cRNA was prepared from total RNA using the Illumina TotalPrep RNA Amplification Kit.""","""9606""","""The biotinylated cRNA was hybridized to the BeadChips per standard Illumina hybridization protocol.""","""The hybridized chips were stained and scanned using the Illumina HD BeadArray following the standard Illumina protocol.""","""Paired with normal adjacent tissue17788""","""Scanned image and bead-level data processing were performed using the Illumina BeadStudio software v3.2. The summarized data for each bead type were then processed, log2 transformed and normalized using Robust Spline Normalization (RSN) as implemented in the R-based lumi package.""","""GPL6883""","""Toshinori,,Hinoue""","""thinoue@usc.edu""","""323-442-7458""","""USC Epigenome Center""","""1450 Biggy Street, NRT G511""","""Los Angeles""","""CA""","""90033-9601""","""USA""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM615nnn/GSM615874/suppl/GSM615874.txt.gz""","""24526"""
