geo_accession,target
GSM1092909,nontumor
GSM1092910,Tumor
GSM1092911,nontumor
GSM1092912,Tumor
GSM1092913,nontumor
GSM1092914,Tumor
GSM1092915,Tumor
GSM1092916,nontumor
GSM1092917,nontumor
GSM1092918,Tumor
GSM1092919,Tumor
GSM1092920,nontumor
GSM1092921,Tumor
GSM1092922,nontumor
GSM1092923,Tumor
GSM1092924,nontumor
GSM1092925,nontumor
GSM1092926,Tumor
GSM1092927,Tumor
GSM1092928,nontumor
GSM1092929,nontumor
GSM1092930,Tumor
GSM1092931,nontumor
GSM1092932,Tumor
GSM1092933,nontumor
GSM1092934,nontumor
GSM1092935,Tumor
GSM1092936,nontumor
GSM1092937,nontumor
GSM1092938,Tumor
GSM1092939,nontumor
GSM1092940,Tumor
GSM1092941,nontumor
GSM1092942,Tumor
GSM1092943,Tumor
GSM1092944,nontumor
GSM1092945,nontumor
GSM1092946,nontumor
GSM1092947,Tumor
GSM1092948,nontumor
GSM1092949,Tumor
GSM1092950,Tumor
GSM1092951,Tumor
GSM1092952,Tumor
GSM1092953,nontumor
GSM1092954,Tumor
GSM1092955,Tumor
GSM1092956,nontumor
GSM1092957,Tumor
GSM1092958,Tumor
GSM1092959,nontumor
GSM1092960,Tumor
GSM1092961,nontumor
GSM1092962,nontumor
GSM1092963,Tumor
GSM1092964,nontumor
GSM1092965,Tumor
GSM1092966,nontumor
GSM1092967,Tumor
GSM1092968,nontumor
GSM1092969,Tumor
GSM1092970,nontumor
GSM1092971,Tumor
GSM1092972,Tumor
GSM1092973,Tumor
GSM1092974,nontumor
GSM1092975,nontumor
GSM1092976,nontumor
GSM1092977,Tumor
GSM1092978,nontumor
GSM1092979,Tumor
GSM1092980,Tumor
GSM1092981,nontumor
GSM1092982,Tumor
GSM1092983,nontumor
GSM1092984,nontumor
GSM1092985,Tumor
GSM1092986,nontumor
GSM1092987,Tumor
GSM1092988,nontumor
GSM1092989,Tumor
GSM1092990,Tumor
GSM1092991,nontumor
GSM1092992,Tumor
GSM1092993,Tumor
GSM1092994,nontumor
GSM1092995,nontumor
GSM1092996,Tumor
GSM1092997,nontumor
GSM1092998,Tumor
GSM1092999,nontumor
GSM1093000,Tumor
GSM1093001,nontumor
GSM1093002,Tumor
GSM1093003,nontumor
GSM1093004,Tumor
GSM1093005,nontumor
GSM1093006,nontumor
GSM1093007,Tumor
GSM1093008,nontumor
GSM1093009,Tumor
GSM1093010,nontumor
GSM1093011,Tumor
GSM1093012,Tumor
GSM1093013,nontumor
GSM1093014,nontumor
GSM1093015,Tumor
GSM1093016,nontumor
GSM1093017,Tumor
GSM1093018,nontumor
GSM1093019,Tumor
