geo_accession,target
GSM2982906,normal
GSM2982907,colorectal
GSM2982908,normal
GSM2982909,colorectal
GSM2982910,normal
GSM2982911,colorectal
GSM2982912,normal
GSM2982913,colorectal
GSM2982914,normal
GSM2982915,colorectal
GSM2982916,normal
GSM2982917,colorectal
GSM2982918,normal
GSM2982919,colorectal
GSM2982920,normal
GSM2982921,colorectal
GSM2982922,normal
GSM2982923,colorectal
GSM2982924,normal
GSM2982925,colorectal
GSM2982926,normal
GSM2982927,colorectal
GSM2982928,normal
GSM2982929,colorectal
GSM2982930,normal
GSM2982931,colorectal
