title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
"""non-cancerous surrounding tissue-1""","""GSM3108231""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108231/suppl/GSM3108231_N1.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-2""","""GSM3108232""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108232/suppl/GSM3108232_N2.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-3""","""GSM3108233""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108233/suppl/GSM3108233_N3.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-4""","""GSM3108234""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108234/suppl/GSM3108234_N4.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-5""","""GSM3108235""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108235/suppl/GSM3108235_N5.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-6""","""GSM3108236""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108236/suppl/GSM3108236_N6.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-7""","""GSM3108237""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108237/suppl/GSM3108237_N7.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-8""","""GSM3108238""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108238/suppl/GSM3108238_N8.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-9""","""GSM3108239""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108239/suppl/GSM3108239_N9.CEL.gz""","""49395"""
"""non-cancerous surrounding tissue-10""","""GSM3108240""","""Public on Apr 24 2018""","""Apr 23 2018""","""Apr 24 2018""","""RNA""","""1""","""non-cancerous colorectal tissue""","""Homo sapiens""","""tissue: non-cancerous colorectal""","""Samples from colorectal cancer patients were processed with routine methods for snap frozen and stored in liquid nitrogen until use.""","""total RNA""","""Trizol (Thermo Fisher Scientific) extraction of total RNA was performed according to the manufacturer's instructions.""","""biotin""","""Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 12 ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).""","""9606""","""Following fragmentation(94 Â°C for 35 min), 10 ug of cRNA were hybridized for 16 hr at 45â„ƒ(60 rpm) on PrimeViewâ„¢ Human Gene Expression Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.""","""GeneChips were scanned using the GeneChipÂ® Scanner 3000""","""Gene expression data from non-cancerous colorectal tissue""","""The data were analyzed with RMA using Affymetrix default analysis settings and global scaling as normalization method.""","""GPL15207""","""Jun,,Peng""","""pjunlab@hotmail.com""","""Academy of Integrative Medicine""","""Fujian University of Traditional Chinese Medicine""","""1 Qiuyang Road, Minhou Shangjie""","""Fuzhou""","""Fujian""","""350122""","""China""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM3108nnn/GSM3108240/suppl/GSM3108240_N10.CEL.gz""","""49395"""
