title,geo_accession,status,submission_date,last_update_date,type,channel_count,source_name_ch1,organism_ch1,characteristics_ch1,treatment_protocol_ch1,molecule_ch1,extract_protocol_ch1,label_ch1,label_protocol_ch1,taxid_ch1,hyb_protocol,scan_protocol,description,data_processing,platform_id,contact_name,contact_email,contact_phone,contact_fax,contact_laboratory,contact_department,contact_institute,contact_address,contact_city,contact_state,contact_zip/postal_code,contact_country,supplementary_file,data_row_count
"""CRC-1""","""GSM543123""","""Public on Sep 01 2011""","""May 13 2010""","""Jan 23 2012""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""depth: pSE""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""TMD-102T""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543123/suppl/GSM543123.txt.gz""","""41000"""
"""CRC-2""","""GSM543124""","""Public on Sep 01 2011""","""May 13 2010""","""Jan 23 2012""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""depth: pSS""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""TMD-111T""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543124/suppl/GSM543124.txt.gz""","""41000"""
"""CRC-3""","""GSM543125""","""Public on Sep 01 2011""","""May 13 2010""","""Sep 01 2011""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual  (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""none""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543125/suppl/GSM543125.txt.gz""","""41000"""
"""CRC-4""","""GSM543126""","""Public on Sep 01 2011""","""May 13 2010""","""Jan 23 2012""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""depth: pSM""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""TMD-145T""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543126/suppl/GSM543126.txt.gz""","""41000"""
"""CRC-5""","""GSM543127""","""Public on Sep 01 2011""","""May 13 2010""","""Sep 01 2011""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual  (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""none""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543127/suppl/GSM543127.txt.gz""","""41000"""
"""CRC-6""","""GSM543128""","""Public on Sep 01 2011""","""May 13 2010""","""Jan 23 2012""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""depth: pA""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""NCC-027T""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543128/suppl/GSM543128.txt.gz""","""41000"""
"""CRC-7""","""GSM543129""","""Public on Sep 01 2011""","""May 13 2010""","""Sep 01 2011""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual  (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""none""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543129/suppl/GSM543129.txt.gz""","""41000"""
"""CRC-8""","""GSM543130""","""Public on Sep 01 2011""","""May 13 2010""","""Sep 01 2011""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual  (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""none""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543130/suppl/GSM543130.txt.gz""","""41000"""
"""CRC-9""","""GSM543131""","""Public on Sep 01 2011""","""May 13 2010""","""Sep 01 2011""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual  (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""none""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543131/suppl/GSM543131.txt.gz""","""41000"""
"""CRC-10""","""GSM543132""","""Public on Sep 01 2011""","""May 13 2010""","""Jan 23 2012""","""RNA""","""1""","""colorectal cancer""","""Homo sapiens""","""depth: pSS""","""Laser micro-dissection""","""total RNA""","""Total RNA was extracted with QIAGEN RNeasy minElute Spin Column (QIAGEN, Inc., Valencia, CA) according to the manufacturer's protocols.""","""Cy3""","""Cyanine (Cy)-labeled cRNA was prepared using T7 linear amplification as described in the Agilent Low RNA Input Fluorescent Linear Amplification Kit Manual (Agilent Technologies).""","""9606""","""Hybridization was carried out using the conditions specified in the Agilent Human Whole Genome Expression system.""","""Fluorescence intensities were determined with an Agilent DNA Microarray Scanner.""","""NCC-041T""","""Expression levels were quantified by G2567AA Feature Extraction Software Version A.7.5.1 (Agilent Technologies), which used the  LOWESS (locally weighted linear regression curve fit) normalization method. Further analyses were performed using GeneSpring version 7.3.""","""GPL6480""","""Koshi,,Mimori""","""kmimori@beppu.kyushu-u.ac.jp""","""81-977-27-1650""","""81-977-27-1651""","""Kyushu Univeristy Beppu Hospital""","""Department of Surgery""","""Kyushu university""","""4546 Tsurumihara""","""Beppu""","""Oita""","""874-0838""","""Japan""","""ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM543nnn/GSM543132/suppl/GSM543132.txt.gz""","""41000"""
